Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;08.04.2015 01:00;0;8;0;7,3
Strømtangen Fyr;SN17000;08.04.2015 02:00;0;7,7;0;7,6
Strømtangen Fyr;SN17000;08.04.2015 03:00;0;7,5;0;6,5
Strømtangen Fyr;SN17000;08.04.2015 04:00;0;9,3;0;5,9
Strømtangen Fyr;SN17000;08.04.2015 05:00;0;9,3;0;8
Strømtangen Fyr;SN17000;08.04.2015 06:00;0;7,9;0;9,1
Strømtangen Fyr;SN17000;08.04.2015 07:00;0;8,7;0;7,5
Strømtangen Fyr;SN17000;08.04.2015 08:00;0;9,1;0;7,2
Strømtangen Fyr;SN17000;08.04.2015 09:00;0;9,9;0;6,3
Strømtangen Fyr;SN17000;08.04.2015 10:00;0;9,7;0;6,8
Strømtangen Fyr;SN17000;08.04.2015 11:00;0;9,5;0;5,5
Strømtangen Fyr;SN17000;08.04.2015 12:00;0;9,1;0;4,5
Strømtangen Fyr;SN17000;08.04.2015 13:00;0;10;0;5,1
Strømtangen Fyr;SN17000;08.04.2015 14:00;0;9,7;0;3,9
Strømtangen Fyr;SN17000;08.04.2015 15:00;0;9,5;0;3,3
Strømtangen Fyr;SN17000;08.04.2015 16:00;0;9;0;4,6
Strømtangen Fyr;SN17000;08.04.2015 17:00;0;9,3;0;4,4
Strømtangen Fyr;SN17000;08.04.2015 18:00;0;9,2;0;3
Strømtangen Fyr;SN17000;08.04.2015 19:00;0;7,8;0;4,7
Strømtangen Fyr;SN17000;08.04.2015 20:00;0;7,4;0;4,9
Strømtangen Fyr;SN17000;08.04.2015 21:00;0;7,8;0;6,2
Strømtangen Fyr;SN17000;08.04.2015 22:00;0;7,1;0;6,4
Strømtangen Fyr;SN17000;08.04.2015 23:00;0;6,7;0;6
Strømtangen Fyr;SN17000;09.04.2015 00:00;0;7;0;8,6
Strømtangen Fyr;SN17000;09.04.2015 01:00;0;6,8;0;9,8
Strømtangen Fyr;SN17000;09.04.2015 02:00;0;6,6;0;10,9
Strømtangen Fyr;SN17000;09.04.2015 03:00;0;6,4;0;10,2
Strømtangen Fyr;SN17000;09.04.2015 04:00;0;6,2;0;9,7
Strømtangen Fyr;SN17000;09.04.2015 05:00;0;6;1;7,7
Strømtangen Fyr;SN17000;09.04.2015 06:00;0;5,8;0;8
Strømtangen Fyr;SN17000;09.04.2015 07:00;0;5,6;0;6,2
Strømtangen Fyr;SN17000;09.04.2015 08:00;0;5,7;0;5,7
Strømtangen Fyr;SN17000;09.04.2015 09:00;0;6;0;3,8
Strømtangen Fyr;SN17000;09.04.2015 10:00;0;6,3;0;3,9
Strømtangen Fyr;SN17000;09.04.2015 11:00;0;6,8;0;4,8
Strømtangen Fyr;SN17000;09.04.2015 12:00;0;7,5;0;6
Strømtangen Fyr;SN17000;09.04.2015 13:00;0;7,6;0;7,7
Strømtangen Fyr;SN17000;09.04.2015 14:00;0;7,4;0;8,1
Strømtangen Fyr;SN17000;09.04.2015 15:00;0;7,2;0;10,1
Strømtangen Fyr;SN17000;09.04.2015 16:00;0;6,8;0;9,5
Strømtangen Fyr;SN17000;09.04.2015 17:00;0;6,7;0;9,6
Strømtangen Fyr;SN17000;09.04.2015 18:00;0;6,7;0;9,1
Strømtangen Fyr;SN17000;09.04.2015 19:00;0;6,6;0;8,2
Strømtangen Fyr;SN17000;09.04.2015 20:00;0;7,5;0;6,2
Strømtangen Fyr;SN17000;09.04.2015 21:00;0;7;0;4,5
Strømtangen Fyr;SN17000;09.04.2015 22:00;0;5,5;0;3,8
Strømtangen Fyr;SN17000;09.04.2015 23:00;0;7,1;0;7
Strømtangen Fyr;SN17000;10.04.2015 00:00;0;6,9;0;7,5
Strømtangen Fyr;SN17000;10.04.2015 01:00;0;6,6;0;9,5
Strømtangen Fyr;SN17000;10.04.2015 02:00;0;6,2;0;10,8
Strømtangen Fyr;SN17000;10.04.2015 03:00;0;5,9;0;10,3
Strømtangen Fyr;SN17000;10.04.2015 04:00;0;5,9;0;10,7
Strømtangen Fyr;SN17000;10.04.2015 05:00;0;5,8;0;10,9
Strømtangen Fyr;SN17000;10.04.2015 06:00;0;5,7;0;12
Strømtangen Fyr;SN17000;10.04.2015 07:00;0;5,8;0;11,9
Strømtangen Fyr;SN17000;10.04.2015 08:00;0;5,9;0;11,5
Strømtangen Fyr;SN17000;10.04.2015 09:00;0;6;0;12,6
Strømtangen Fyr;SN17000;10.04.2015 10:00;0;6;0;11,6
Strømtangen Fyr;SN17000;10.04.2015 11:00;0;6,1;0;10,7
Strømtangen Fyr;SN17000;10.04.2015 12:00;0;5,6;0;10,8
Strømtangen Fyr;SN17000;10.04.2015 13:00;0;5,2;0;11,3
Strømtangen Fyr;SN17000;10.04.2015 14:00;0;5,2;0;10,3
Strømtangen Fyr;SN17000;21.04.2015 14:00;0;10,6;0;3,7
Strømtangen Fyr;SN17000;21.04.2015 15:00;0;9,9;0;5,3
Strømtangen Fyr;SN17000;21.04.2015 16:00;0;9,5;0;6,8
Strømtangen Fyr;SN17000;21.04.2015 17:00;0;9,9;0;6,8
Strømtangen Fyr;SN17000;21.04.2015 18:00;0;9,8;0;3,1
Strømtangen Fyr;SN17000;21.04.2015 19:00;0;9,9;0;1
Strømtangen Fyr;SN17000;21.04.2015 20:00;0;8,2;0;2
Strømtangen Fyr;SN17000;21.04.2015 21:00;0;7,8;0;2,2
Strømtangen Fyr;SN17000;21.04.2015 22:00;0;7,4;0;2,6
Strømtangen Fyr;SN17000;21.04.2015 23:00;0;6,5;0;3,5
Strømtangen Fyr;SN17000;22.04.2015 00:00;0;6,6;0;2,6
Strømtangen Fyr;SN17000;22.04.2015 01:00;0;7,4;0;4,2
Strømtangen Fyr;SN17000;22.04.2015 02:00;0;5,3;0;2,9
Strømtangen Fyr;SN17000;22.04.2015 03:00;0;5,1;0;2,8
Strømtangen Fyr;SN17000;22.04.2015 04:00;0;6,8;0;4,6
Strømtangen Fyr;SN17000;22.04.2015 05:00;0;5,4;0;4,5
Strømtangen Fyr;SN17000;22.04.2015 06:00;0;5,8;0;2,8
Strømtangen Fyr;SN17000;22.04.2015 07:00;0;7;0;2,4
Strømtangen Fyr;SN17000;22.04.2015 08:00;0;9,4;0;2,5
Strømtangen Fyr;SN17000;22.04.2015 09:00;0;9,1;0;2,9
Strømtangen Fyr;SN17000;22.04.2015 10:00;0;9,5;0;3,2
Strømtangen Fyr;SN17000;22.04.2015 11:00;0;9,6;0;3,4
Strømtangen Fyr;SN17000;22.04.2015 12:00;0;10,3;0;4,6
Strømtangen Fyr;SN17000;22.04.2015 13:00;0;10,5;0;4,9
Strømtangen Fyr;SN17000;22.04.2015 14:00;0;10,9;0;4,9
Strømtangen Fyr;SN17000;22.04.2015 15:00;0;10,5;0;5,9
Strømtangen Fyr;SN17000;22.04.2015 16:00;0;10,3;0;7,2
Strømtangen Fyr;SN17000;22.04.2015 17:00;0;10,3;0;8,5
Strømtangen Fyr;SN17000;22.04.2015 18:00;0;9,6;0;11,7
Strømtangen Fyr;SN17000;22.04.2015 19:00;0;9,4;0;9,8
Strømtangen Fyr;SN17000;22.04.2015 20:00;0;12,1;0;7,4
Strømtangen Fyr;SN17000;22.04.2015 21:00;0;9,5;0;7,5
Strømtangen Fyr;SN17000;22.04.2015 22:00;0;11,3;0;9,2
Strømtangen Fyr;SN17000;22.04.2015 23:00;0;11,8;0;10,7
Strømtangen Fyr;SN17000;23.04.2015 00:00;0;10,6;0;11,3
Strømtangen Fyr;SN17000;23.04.2015 01:00;0;10,1;0;12,4
Strømtangen Fyr;SN17000;23.04.2015 02:00;0;9,4;0;14,3
Strømtangen Fyr;SN17000;23.04.2015 03:00;0;9,9;0;13,5
Strømtangen Fyr;SN17000;23.04.2015 04:00;0;9,7;0;12,7
Strømtangen Fyr;SN17000;23.04.2015 05:00;0;9,6;0;11,7
Strømtangen Fyr;SN17000;23.04.2015 06:00;0;9,3;0;11,9
Strømtangen Fyr;SN17000;23.04.2015 07:00;0;10,5;0;8,7
Strømtangen Fyr;SN17000;23.04.2015 08:00;0;10;0;8,7
Strømtangen Fyr;SN17000;23.04.2015 09:00;0;11,6;0;8
Strømtangen Fyr;SN17000;23.04.2015 10:00;0;12,4;0;7,8
Strømtangen Fyr;SN17000;23.04.2015 11:00;0;11;0;6,7
Strømtangen Fyr;SN17000;23.04.2015 12:00;0;12,5;0;5,5
Strømtangen Fyr;SN17000;23.04.2015 13:00;0;12,5;0;3,1
Strømtangen Fyr;SN17000;23.04.2015 14:00;0;12,4;0;5,4
Strømtangen Fyr;SN17000;23.04.2015 15:00;0;14,6;0;7,5
Strømtangen Fyr;SN17000;23.04.2015 16:00;0;14,2;0;7,9
Strømtangen Fyr;SN17000;23.04.2015 17:00;0;14,1;0;7,1
Strømtangen Fyr;SN17000;23.04.2015 18:00;0;12,9;0;5,1
Strømtangen Fyr;SN17000;23.04.2015 19:00;0;11,8;0;7
Strømtangen Fyr;SN17000;23.04.2015 20:00;0;11,1;0;6,6
